time,V_adc_value,V_actual_value,H_adc_value,H_actual_value
0.0,21,0.08203125,2,0.0078125
0.01,8,0.03125,-1,-0.00390625
0.03,3,0.01171875,0,0.0
0.05,-1,-0.00390625,-1,-0.00390625
0.07,-2,-0.0078125,0,0.0
0.09,2,0.0078125,-1,-0.00390625
0.11,-2,-0.0078125,1,0.00390625
0.13,-1,-0.00390625,0,0.0
0.15,0,0.0,0,0.0
0.17,-2,-0.0078125,8,0.03125
0.18,252,0.984375,48,0.1875
0.2,210,0.8203125,294,1.1484375
0.22,-21,-0.08203125,-18,-0.07031250000000001
0.24,43,0.16796875,-15,-0.05859375
0.26,91,0.35546875,-41,-0.16015625
0.28,88,0.34375,-18,-0.07031250000000001
0.3,111,0.43359375,-3,-0.01171875
0.32,19,0.07421875,-1,-0.00390625
0.34,-24,-0.09375,-1,-0.00390625
0.35,-96,-0.375,-2,-0.0078125
0.37,-132,-0.515625,-1,-0.00390625
0.39,-71,-0.27734375000000006,-2,-0.0078125
0.41,-102,-0.39843750000000006,1,0.00390625
0.43,51,0.19921875000000003,1,0.00390625
0.45,65,0.25390625,1,0.00390625
0.47,33,0.12890625,0,0.0
0.49,11,0.04296875,0,0.0
0.51,4,0.015625,0,0.0
0.52,4,0.015625,0,0.0
0.54,1,0.00390625,0,0.0
0.56,-3,-0.01171875,0,0.0
0.58,0,0.0,0,0.0
0.6,-1,-0.00390625,0,0.0
0.62,-3,-0.01171875,-1,-0.00390625
0.64,-2,-0.0078125,0,0.0
0.65,-2,-0.0078125,-1,-0.00390625
0.67,-1,-0.00390625,-181,-0.70703125
0.69,-1004,-3.921875,301,1.17578125
0.71,239,0.9335937500000001,-107,-0.41796875
0.73,1,0.00390625,-21,-0.08203125
0.75,67,0.26171875,-10,-0.0390625
0.77,32,0.125,10,0.0390625
0.79,226,0.8828125,1,0.00390625
0.8,130,0.5078125,-2,-0.0078125
0.82,-53,-0.20703125,0,0.0
0.84,-87,-0.33984375000000006,2,0.0078125
0.86,-177,-0.69140625,0,0.0
0.88,-85,-0.33203125,0,0.0
0.9,-92,-0.359375,-2,-0.0078125
0.92,1,0.00390625,-4,-0.015625
0.94,66,0.2578125,-2,-0.0078125
0.95,53,0.20703125,-1,-0.00390625
0.97,25,0.09765625,-1,-0.00390625
0.99,10,0.0390625,-1,-0.00390625
1.01,2,0.0078125,0,0.0
1.03,2,0.0078125,-1,-0.00390625
1.05,-2,-0.0078125,0,0.0
1.07,2,0.0078125,-1,-0.00390625
1.08,1,0.00390625,0,0.0
1.1,1,0.00390625,0,0.0
1.12,-2,-0.0078125,0,0.0
1.14,8,0.03125,-76,-0.296875
1.16,415,1.6210937500000002,5,0.01953125
1.18,240,0.9375,-18,-0.07031250000000001
1.2,37,0.14453125,-38,-0.1484375
1.22,71,0.27734375000000006,-17,-0.06640625
1.23,126,0.4921875,-9,-0.03515625000000001
1.25,54,0.2109375,-7,-0.02734375
1.27,114,0.4453125,-5,-0.01953125
1.29,35,0.13671875,-3,-0.01171875
1.31,-49,-0.19140625,-2,-0.0078125
1.33,-82,-0.3203125,-1,-0.00390625
1.35,-142,-0.5546875000000001,1,0.00390625
