V_adc_value,V_real_value,H_adc_value,H_real_value
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-2,-0.0078125,60,0.234375
-41,-0.16015625,-26,-0.10156250000000001
61,0.23828125,15,0.05859375
48,0.1875,8,0.03125
-20,-0.078125,-6,-0.0234375
30,0.1171875,-1,-0.00390625
32,0.125,2,0.0078125
-30,-0.1171875,-1,-0.00390625
-14,-0.0546875,0,0.0
-12,-0.046875,1,0.00390625
-14,-0.0546875,1,0.00390625
-8,-0.03125,0,0.0
3,0.01171875,-2,-0.0078125
0,0.0,1,0.00390625
4,0.015625,0,0.0
3,0.01171875,0,0.0
1,0.00390625,0,0.0
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-3,-0.01171875,1,0.00390625
-2,-0.0078125,0,0.0
0,0.0,8,0.03125
-19,-0.07421875,-72,-0.28125000000000006
-2,-0.0078125,-4,-0.015625
-2,-0.0078125,17,0.06640625
-4,-0.015625,-1,-0.00390625
6,0.0234375,-4,-0.015625
11,0.04296875,3,0.01171875
11,0.04296875,2,0.0078125
-3,-0.01171875,0,0.0
-11,-0.04296875,1,0.00390625
-12,-0.046875,1,0.00390625
-9,-0.03515625000000001,1,0.00390625
-6,-0.0234375,1,0.00390625
4,0.015625,0,0.0
5,0.01953125,1,0.00390625
2,0.0078125,0,0.0
2,0.0078125,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-18,-0.07031250000000001,-11,-0.04296875
6,0.0234375,9,0.03515625000000001
6,0.0234375,-9,-0.03515625000000001
2,0.0078125,-3,-0.01171875
1,0.00390625,3,0.01171875
3,0.01171875,1,0.00390625
9,0.03515625000000001,0,0.0
2,0.0078125,0,0.0
-4,-0.015625,0,0.0
-9,-0.03515625000000001,0,0.0
-13,-0.05078125000000001,0,0.0
-7,-0.02734375,0,0.0
-2,-0.0078125,-1,-0.00390625
0,0.0,2,0.0078125
4,0.015625,0,0.0
3,0.01171875,0,0.0
0,0.0,0,0.0
-2,-0.0078125,1,0.00390625
-1,-0.00390625,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-2,-0.0078125,1,0.00390625
-8,-0.03125,5,0.01953125
-16,-0.0625,-2,-0.0078125
-5,-0.01953125,5,0.01953125
3,0.01171875,-5,-0.01953125
3,0.01171875,-1,-0.00390625
8,0.03125,2,0.0078125
7,0.02734375,2,0.0078125
7,0.02734375,1,0.00390625
-2,-0.0078125,0,0.0
-9,-0.03515625000000001,0,0.0
-16,-0.0625,1,0.00390625
-10,-0.0390625,0,0.0
-1,-0.00390625,1,0.00390625
2,0.0078125,-1,-0.00390625
1,0.00390625,0,0.0
2,0.0078125,1,0.00390625
2,0.0078125,0,0.0
-1,-0.00390625,-1,-0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
0,0.0,0,0.0
0,0.0,-16,-0.0625
53,0.20703125,-5,-0.01953125
