V_adc_value,V_real_value,H_adc_value,H_real_value
10,0.0390625,0,0.0
7,0.02734375,0,0.0
-1,-0.00390625,1,0.00390625
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-1,-0.00390625,-1,-0.00390625
-1,-0.00390625,0,0.0
-3,-0.01171875,0,0.0
-6,-0.0234375,-1,-0.00390625
-2,-0.0078125,0,0.0
-3,-0.01171875,0,0.0
0,0.0,-3,-0.01171875
-4,-0.015625,3,0.01171875
14,0.0546875,1,0.00390625
11,0.04296875,-1,-0.00390625
-5,-0.01953125,1,0.00390625
-1,-0.00390625,0,0.0
-3,-0.01171875,1,0.00390625
-2,-0.0078125,0,0.0
-4,-0.015625,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,-1,-0.00390625
0,0.0,1,0.00390625
0,0.0,0,0.0
-2,-0.0078125,0,0.0
-10,-0.0390625,6,0.0234375
-2,-0.0078125,2,0.0078125
-4,-0.015625,-1,-0.00390625
2,0.0078125,-1,-0.00390625
-3,-0.01171875,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
1,0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-3,-0.01171875,1,0.00390625
-3,-0.01171875,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-2,-0.0078125,0,0.0
-30,-0.1171875,-15,-0.05859375
171,0.66796875,-30,-0.1171875
97,0.37890625,-2,-0.0078125
0,0.0,13,0.05078125000000001
1,0.00390625,2,0.0078125
-5,-0.01953125,-3,-0.01171875
2,0.0078125,0,0.0
-1,-0.00390625,1,0.00390625
-10,-0.0390625,-1,-0.00390625
-7,-0.02734375,0,0.0
-2,-0.0078125,0,0.0
-3,-0.01171875,-3,-0.01171875
-9,-0.03515625000000001,3,0.01171875
1,0.00390625,2,0.0078125
-1,-0.00390625,-2,-0.0078125
0,0.0,-2,-0.0078125
-43,-0.16796875,44,0.171875
-169,-0.66015625,-2,-0.0078125
333,1.30078125,-13,-0.05078125000000001
-54,-0.2109375,2,0.0078125
3,0.01171875,6,0.0234375
-20,-0.078125,1,0.00390625
-6,-0.0234375,-1,-0.00390625
12,0.046875,0,0.0
-5,-0.01953125,0,0.0
-13,-0.05078125000000001,0,0.0
-5,-0.01953125,0,0.0
-3,-0.01171875,1,0.00390625
-22,-0.0859375,0,0.0
-12,-0.046875,-1,-0.00390625
-1,-0.00390625,-1,-0.00390625
10,0.0390625,1,0.00390625
7,0.02734375,0,0.0
2,0.0078125,0,0.0
-23,-0.08984375,13,0.05078125000000001
62,0.2421875,19,0.07421875
-1,-0.00390625,-1,-0.00390625
0,0.0,-8,-0.03125
6,0.0234375,-3,-0.01171875
3,0.01171875,2,0.0078125
-8,-0.03125,0,0.0
-10,-0.0390625,0,0.0
-2,-0.0078125,1,0.00390625
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-12,-0.046875,1,0.00390625
-1,-0.00390625,1,0.00390625
3,0.01171875,0,0.0
1,0.00390625,1,0.00390625
-3,-0.01171875,0,0.0
-5,-0.01953125,-10,-0.0390625
88,0.34375,13,0.05078125000000001
6,0.0234375,-2,-0.0078125
-14,-0.0546875,-4,-0.015625
-4,-0.015625,2,0.0078125
1,0.00390625,1,0.00390625
-1,-0.00390625,1,0.00390625
-2,-0.0078125,-1,-0.00390625
-2,-0.0078125,0,0.0
1,0.00390625,0,0.0
0,0.0,-1,-0.00390625
-4,-0.015625,2,0.0078125
-2,-0.0078125,0,0.0
-5,-0.01953125,-3,-0.01171875
83,0.32421875,-23,-0.08984375
40,0.15625,-8,-0.03125
-3,-0.01171875,6,0.0234375
-2,-0.0078125,-1,-0.00390625
0,0.0,-2,-0.0078125
-3,-0.01171875,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-3,-0.01171875,0,0.0
-2,-0.0078125,1,0.00390625
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-4,-0.015625,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,-1,-0.00390625
0,0.0,0,0.0
-2,-0.0078125,-1,-0.00390625
-8,-0.03125,1,0.00390625
1,0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
-2,-0.0078125,0,0.0
-2,-0.0078125,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,-1,-0.00390625
-2,-0.0078125,0,0.0
0,0.0,0,0.0
-8,-0.03125,2,0.0078125
-13,-0.05078125000000001,-3,-0.01171875
29,0.11328125,1,0.00390625
-4,-0.015625,-2,-0.0078125
-4,-0.015625,1,0.00390625
-3,-0.01171875,1,0.00390625
-5,-0.01953125,0,0.0
-2,-0.0078125,0,0.0
0,0.0,-1,-0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,1,0.00390625
-2,-0.0078125,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,-2,-0.0078125
-34,-0.1328125,-27,-0.10546875
-15,-0.05859375,3,0.01171875
-2,-0.0078125,6,0.0234375
-6,-0.0234375,-1,-0.00390625
5,0.01953125,-1,-0.00390625
-2,-0.0078125,1,0.00390625
0,0.0,1,0.00390625
-3,-0.01171875,0,0.0
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-3,-0.01171875,-2,-0.0078125
-2,-0.0078125,2,0.0078125
1,0.00390625,1,0.00390625
0,0.0,0,0.0
-1,-0.00390625,2,0.0078125
-85,-0.33203125,-79,-0.30859375
-79,-0.30859375,-36,-0.14062500000000003
-15,-0.05859375,17,0.06640625
-1,-0.00390625,8,0.03125
0,0.0,-4,-0.015625
-1,-0.00390625,0,0.0
-3,-0.01171875,2,0.0078125
-1,-0.00390625,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,-2,-0.0078125
-7,-0.02734375,0,0.0
-3,-0.01171875,-1,-0.00390625
0,0.0,0,0.0
1,0.00390625,2,0.0078125
-1,-0.00390625,5,0.01953125
-97,-0.37890625,48,0.1875
-54,-0.2109375,-73,-0.28515625
-1,-0.00390625,-17,-0.06640625
10,0.0390625,21,0.08203125
10,0.0390625,7,0.02734375
-6,-0.0234375,-5,-0.01953125
-1,-0.00390625,1,0.00390625
-5,-0.01953125,2,0.0078125
-2,-0.0078125,-1,-0.00390625
-1,-0.00390625,7,0.02734375
-3,-0.01171875,-5,-0.01953125
-2,-0.0078125,4,0.015625
-2,-0.0078125,4,0.015625
0,0.0,1,0.00390625
0,0.0,0,0.0
-2,-0.0078125,-4,-0.015625
-294,-1.1484375,-26,-0.10156250000000001
-62,-0.2421875,-58,-0.2265625
11,0.04296875,-12,-0.046875
-7,-0.02734375,13,0.05078125000000001
-7,-0.02734375,3,0.01171875
-1,-0.00390625,-5,-0.01953125
-1,-0.00390625,5,0.01953125
-4,-0.015625,1,0.00390625
1,0.00390625,0,0.0
1,0.00390625,0,0.0
