time,V_adc_value,V_actual_value,H_adc_value,H_actual_value
0.0,3,0.01171875,0,0.0
0.02,0,0.0,-1,-0.00390625
0.03,0,0.0,0,0.0
0.05,-1,-0.00390625,0,0.0
0.07,-3,-0.01171875,0,0.0
0.09,0,0.0,-1,-0.00390625
0.11,1,0.00390625,-1,-0.00390625
0.13,-7,-0.02734375,0,0.0
0.15,7,0.02734375,0,0.0
0.17,-5,-0.01953125,2,0.0078125
0.18,-14,-0.0546875,1,0.00390625
0.2,-7,-0.02734375,2,0.0078125
0.22,0,0.0,1,0.00390625
0.24,-6,-0.0234375,1,0.00390625
0.26,11,0.04296875,0,0.0
0.28,15,0.05859375,0,0.0
0.3,-8,-0.03125,0,0.0
0.32,-9,-0.03515625000000001,-1,-0.00390625
0.33,0,0.0,0,0.0
0.35,5,0.01953125,0,0.0
0.37,0,0.0,0,0.0
0.39,-2,-0.0078125,0,0.0
0.41,-2,-0.0078125,0,0.0
0.43,-1,-0.00390625,0,0.0
0.45,-2,-0.0078125,-1,-0.00390625
0.47,-2,-0.0078125,-1,-0.00390625
0.48,-3,-0.01171875,-2,-0.0078125
0.5,-6,-0.0234375,-1,-0.00390625
0.52,-4,-0.015625,-1,-0.00390625
0.54,0,0.0,-1,-0.00390625
0.56,1,0.00390625,-2,-0.0078125
0.58,-13,-0.05078125000000001,-3,-0.01171875
0.6,4,0.015625,-2,-0.0078125
0.61,3,0.01171875,-1,-0.00390625
0.63,4,0.015625,-1,-0.00390625
0.65,-1,-0.00390625,-1,-0.00390625
0.67,3,0.01171875,0,0.0
0.69,0,0.0,0,0.0
0.71,-2,-0.0078125,-1,-0.00390625
0.73,-2,-0.0078125,-1,-0.00390625
0.74,0,0.0,0,0.0
0.76,2,0.0078125,0,0.0
0.78,-3,-0.01171875,0,0.0
0.8,-3,-0.01171875,0,0.0
0.82,-2,-0.0078125,0,0.0
0.84,1,0.00390625,0,0.0
0.86,0,0.0,0,0.0
0.87,0,0.0,0,0.0
0.89,-2,-0.0078125,0,0.0
0.91,-3,-0.01171875,0,0.0
0.93,-7,-0.02734375,0,0.0
0.95,-4,-0.015625,-1,-0.00390625
0.97,-1,-0.00390625,0,0.0
0.99,3,0.01171875,0,0.0
1.01,0,0.0,-4,-0.015625
