V_adc_value,V_real_value,H_adc_value,H_real_value
10,0.0390625,-1,-0.00390625
3,0.01171875,-1,-0.00390625
-3,-0.01171875,-1,-0.00390625
-3,-0.01171875,0,0.0
-2,-0.0078125,0,0.0
0,0.0,0,0.0
-2,-0.0078125,-1,-0.00390625
-2,-0.0078125,0,0.0
-2,-0.0078125,0,0.0
1,0.00390625,-1,-0.00390625
2,0.0078125,-1,-0.00390625
-5,-0.01953125,0,0.0
-6,-0.0234375,-1,-0.00390625
2,0.0078125,-1,-0.00390625
-1,-0.00390625,0,0.0
6,0.0234375,0,0.0
-1,-0.00390625,-1,-0.00390625
-8,-0.03125,0,0.0
0,0.0,-1,-0.00390625
-3,-0.01171875,-3,-0.01171875
12,0.046875,-2,-0.0078125
-23,-0.08984375,-1,-0.00390625
-10,-0.0390625,0,0.0
-3,-0.01171875,0,0.0
3,0.01171875,0,0.0
2,0.0078125,-1,-0.00390625
-1,-0.00390625,0,0.0
-4,-0.015625,0,0.0
-4,-0.015625,-1,-0.00390625
-3,-0.01171875,-1,-0.00390625
-5,-0.01953125,0,0.0
-2,-0.0078125,0,0.0
-2,-0.0078125,0,0.0
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-3,-0.01171875,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
-2,-0.0078125,0,0.0
-2,-0.0078125,-1,-0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,-1,-0.00390625
-122,-0.4765625,-9,-0.03515625000000001
-59,-0.23046875000000003,-2,-0.0078125
-18,-0.07031250000000001,2,0.0078125
-1,-0.00390625,0,0.0
3,0.01171875,-2,-0.0078125
3,0.01171875,-1,-0.00390625
0,0.0,0,0.0
0,0.0,-1,-0.00390625
0,0.0,-1,-0.00390625
-5,-0.01953125,0,0.0
-5,-0.01953125,-1,-0.00390625
-3,-0.01171875,0,0.0
-1,-0.00390625,0,0.0
-3,-0.01171875,0,0.0
-3,-0.01171875,0,0.0
1,0.00390625,-1,-0.00390625
0,0.0,-1,-0.00390625
-3,-0.01171875,0,0.0
2,0.0078125,0,0.0
-2,-0.0078125,-1,-0.00390625
-3,-0.01171875,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
1,0.00390625,0,0.0
-7,-0.02734375,3,0.01171875
-190,-0.7421875,3,0.01171875
318,1.2421875,-2,-0.0078125
-3,-0.01171875,1,0.00390625
-68,-0.265625,0,0.0
-13,-0.05078125000000001,-2,-0.0078125
7,0.02734375,-3,-0.01171875
36,0.14062500000000003,-1,-0.00390625
4,0.015625,0,0.0
-4,-0.015625,0,0.0
-8,-0.03125,0,0.0
-5,-0.01953125,0,0.0
-3,-0.01171875,0,0.0
-9,-0.03515625000000001,0,0.0
-3,-0.01171875,0,0.0
-1,-0.00390625,-1,-0.00390625
-3,-0.01171875,0,0.0
-4,-0.015625,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
-6,-0.0234375,0,0.0
2,0.0078125,0,0.0
5,0.01953125,0,0.0
-3,-0.01171875,0,0.0
4,0.015625,0,0.0
4,0.015625,0,0.0
-59,-0.23046875000000003,1,0.00390625
10,0.0390625,0,0.0
11,0.04296875,-2,-0.0078125
-17,-0.06640625,0,0.0
7,0.02734375,0,0.0
-13,-0.05078125000000001,-1,-0.00390625
