time,V_adc_value,V_actual_value,H_adc_value,H_actual_value
0.0,-10,-0.0390625,-1,-0.00390625
0.02,2,0.0078125,-1,-0.00390625
0.04,9,0.03515625000000001,0,0.0
0.05,0,0.0,-1,-0.00390625
0.07,2,0.0078125,0,0.0
0.09,0,0.0,0,0.0
0.11,-3,-0.01171875,0,0.0
0.13,-5,-0.01953125,0,0.0
0.15,-5,-0.01953125,0,0.0
0.17,-5,-0.01953125,-1,-0.00390625
0.19,-5,-0.01953125,0,0.0
0.21,-1,-0.00390625,0,0.0
0.22,2,0.0078125,0,0.0
0.24,-2,-0.0078125,-1,-0.00390625
0.26,-1,-0.00390625,0,0.0
0.28,-2,-0.0078125,-1,-0.00390625
0.3,0,0.0,0,0.0
0.32,0,0.0,-1,-0.00390625
0.34,0,0.0,0,0.0
0.36,0,0.0,0,0.0
0.37,0,0.0,0,0.0
0.39,1,0.00390625,0,0.0
0.41,2,0.0078125,0,0.0
0.43,2,0.0078125,0,0.0
0.45,-17,-0.06640625,-8,-0.03125
0.47,167,0.65234375,-10,-0.0390625
0.49,-2,-0.0078125,-7,-0.02734375
0.51,1,0.00390625,-3,-0.01171875
0.52,-55,-0.21484375,-3,-0.01171875
0.54,-32,-0.125,-3,-0.01171875
0.56,-16,-0.0625,-2,-0.0078125
0.58,34,0.1328125,2,0.0078125
0.6,18,0.07031250000000001,1,0.00390625
0.62,8,0.03125,0,0.0
0.64,0,0.0,-1,-0.00390625
0.65,-11,-0.04296875,-1,-0.00390625
0.67,-9,-0.03515625000000001,-1,-0.00390625
0.69,-3,-0.01171875,0,0.0
0.71,-5,-0.01953125,0,0.0
0.73,-6,-0.0234375,-1,-0.00390625
0.75,-2,-0.0078125,0,0.0
0.77,1,0.00390625,0,0.0
0.79,2,0.0078125,0,0.0
0.8,-2,-0.0078125,0,0.0
0.82,-4,-0.015625,0,0.0
0.84,-1,-0.00390625,-1,-0.00390625
0.86,-2,-0.0078125,0,0.0
0.88,1,0.00390625,0,0.0
0.9,-7,-0.02734375,0,0.0
0.92,3,0.01171875,0,0.0
0.94,4,0.015625,-2,-0.0078125
0.95,-1,-0.00390625,-2,-0.0078125
0.97,3,0.01171875,2,0.0078125
0.99,-5,-0.01953125,28,0.109375
1.01,101,0.39453125,115,0.44921875
1.03,64,0.25,57,0.22265625
1.05,-137,-0.53515625,25,0.09765625
1.07,73,0.28515625,6,0.0234375
1.08,-65,-0.25390625,2,0.0078125
1.1,-56,-0.21875,2,0.0078125
1.12,8,0.03125,-3,-0.01171875
1.14,28,0.109375,-2,-0.0078125
1.16,15,0.05859375,-2,-0.0078125
1.18,5,0.01953125,-1,-0.00390625
1.2,-9,-0.03515625000000001,-1,-0.00390625
1.22,0,0.0,-1,-0.00390625
1.23,-1,-0.00390625,0,0.0
1.25,-3,-0.01171875,0,0.0
1.27,-6,-0.0234375,-1,-0.00390625
1.29,0,0.0,-1,-0.00390625
1.31,0,0.0,-1,-0.00390625
1.33,-5,-0.01953125,0,0.0
1.35,-3,-0.01171875,0,0.0
1.36,-1,-0.00390625,0,0.0
1.38,2,0.0078125,0,0.0
1.4,2,0.0078125,2,0.0078125
1.42,-3,-0.01171875,2,0.0078125
1.44,-1,-0.00390625,1,0.00390625
1.46,3,0.01171875,0,0.0
1.48,1,0.00390625,0,0.0
1.49,-1,-0.00390625,0,0.0
1.51,-2,-0.0078125,1,0.00390625
1.53,-76,-0.296875,1,0.00390625
1.55,58,0.2265625,2,0.0078125
1.57,13,0.05078125000000001,0,0.0
1.59,-10,-0.0390625,1,0.00390625
1.61,-37,-0.14453125,0,0.0
1.63,-55,-0.21484375,2,0.0078125
1.64,14,0.0546875,3,0.01171875
1.66,16,0.0625,3,0.01171875
1.68,12,0.046875,2,0.0078125
1.7,2,0.0078125,-1,-0.00390625
1.72,-1,-0.00390625,0,0.0
1.74,-1,-0.00390625,2,0.0078125
1.76,-1,-0.00390625,3,0.01171875
1.78,-1,-0.00390625,1,0.00390625
1.79,-3,-0.01171875,-1,-0.00390625
1.81,-5,-0.01953125,1,0.00390625
1.83,-1,-0.00390625,0,0.0
1.85,-4,-0.015625,0,0.0
1.87,0,0.0,-1,-0.00390625
1.89,0,0.0,-1,-0.00390625
1.91,-4,-0.015625,-1,-0.00390625
1.93,1,0.00390625,0,0.0
1.94,1,0.00390625,-1,-0.00390625
1.96,1,0.00390625,0,0.0
1.98,0,0.0,-1,-0.00390625
2.0,0,0.0,-1,-0.00390625
2.02,-4,-0.015625,0,0.0
2.04,0,0.0,-1,-0.00390625
2.06,4,0.015625,-1,-0.00390625
2.07,-7,-0.02734375,-1,-0.00390625
2.09,-3,-0.01171875,0,0.0
2.11,-3,-0.01171875,0,0.0
2.13,1,0.00390625,-1,-0.00390625
2.15,-7,-0.02734375,-1,-0.00390625
2.17,10,0.0390625,0,0.0
2.19,10,0.0390625,0,0.0
2.2,-4,-0.015625,-1,-0.00390625
2.22,-11,-0.04296875,-1,-0.00390625
2.24,-7,-0.02734375,-1,-0.00390625
2.26,0,0.0,-1,-0.00390625
2.28,-1,-0.00390625,0,0.0
2.3,-3,-0.01171875,0,0.0
2.32,1,0.00390625,-1,-0.00390625
2.34,-1,-0.00390625,0,0.0
